 ALMAX  ALMAY S850  SourceS500 z  TargetID  HerschelX HerschelY S500 TargetFlag 
 0.7313951 -0.0461622  11.08  45.80 0.756671 00060   0.7311111 -0.0466667  50.00 1
 0.7292725 -0.0465379   2.59   4.65 3.806185 00060   0.7311111 -0.0466667  50.00 0
-0.5999130 -0.3172913   6.06  18.09 2.232590 00051  -0.6000000 -0.3166667  50.22 1
-0.6010377 -0.3189411   1.07   3.66 1.694095 00051  -0.6000000 -0.3166667  50.22 0
-0.5998517 -0.3156007   9.73  29.04 2.156228 00051  -0.6000000 -0.3166667  50.22 0
 0.0948566  0.4734975   7.28  29.43 1.021053 00075   0.0955556  0.4722222  50.34 1
 0.0958392  0.4744726   5.04  13.27 2.504263 00075   0.0955556  0.4722222  50.34 0
-0.2596021 -1.7791270   1.85   5.31 2.592410 00008  -0.2588889 -1.7811111  50.35 1
-0.2593784 -1.7809359  13.05  49.96 1.462388 00008  -0.2588889 -1.7811111  50.35 0
-0.0868138  0.8229204   4.02  11.54 2.053786 00087  -0.0866667  0.8244444  50.44 1
-0.0851049  0.8244866   9.11  38.72 0.718608 00087  -0.0866667  0.8244444  50.44 0
-1.2457741 -0.1434273  12.49  52.97 0.732481 00056  -1.2455556 -0.1433333  50.50 1
 0.1644850  1.8699868   9.08  43.92 0.408697 00121   0.1644444  1.8688889  50.50 1
 0.2537433  0.7961279  13.48  56.66 0.812144 00085   0.2533333  0.7955556  50.62 1
-1.6821399  1.5766854  11.08  47.66 0.787883 00112  -1.6822222  1.5766667  50.62 1
 0.0039511  1.8898493   2.12   5.68 2.046424 00123   0.0033333  1.8911111  50.67 1
 0.0020316  1.8902000   2.03   7.11 1.770097 00123   0.0033333  1.8911111  50.67 0
 0.0054057  1.8920575   9.06  34.52 1.454501 00123   0.0033333  1.8911111  50.67 0
 0.3742478  1.5472351   9.85  58.25 0.069312 00110   0.3744444  1.5466667  50.79 1
 0.5746703 -1.4700521   2.10   6.74 2.837416 00014   0.5755556 -1.4677778  50.79 1
 0.5761905 -1.4671911   9.04  41.77 0.585087 00014   0.5755556 -1.4677778  50.79 0
 0.9497990  2.1647251  11.04  43.68 1.188922 00125   0.9500000  2.1644444  50.84 1
