iauname shortname dataname bestloc telescope filter
HATLAS_J090740.0-004200       SDP9      G9-19      ../../data/HST/Negrello_Cycle18/ID9_f160w_scale0.064_pixfrac0.6_science_registered.fits HST  F160W
HATLAS_J091043.1-000321       SDP11     G9-21      ../../data/HST/Negrello_Cycle18/ID11_f160w_scale0.064_pixfrac0.6_science_registered.fits HST  F160W
HATLAS_J090302.9-014127       SDP17     G9-46      ../../data/HST/Negrello_Cycle18/SDP.17_hst_f160w.fits HST  F160W
HATLAS_J090311.6+003906       SDP81     ID081      ../../data/HST/Negrello_Cycle18/ID81_f160w_scale0.064_pixfrac0.6_science_registered.fits HST  F160W
HATLAS_J091305.0-005343       SDP130    ID130      ../../data/HST/Negrello_Cycle18/SDP.130_hst_f160w.fits HST  F160W
HATLAS_J083051.0+013224       G09v1.97  G09v1.97   ../../data/Keck/Fu_2010B/G09v1.97.fits  KeckII-NIRC2  Ks
# HATLAS_J083051.0+013224       G09v1.97  G09v1.97   ../../data/HST/Negrello_Cycle19/SMA_SNAPS/HATLAS_J083051+013225_side30.fits  HST  F110W
# HATLAS_J085358.9+015537       G09v1.40  G09v1.40   ../../data/HST/Negrello_Cycle19/SMA_SNAPS/HATLAS_J085359+015537_side30.fits  HST  F110W
HATLAS_J085358.9+015537       G09v1.40  G09v1.40   ../../data/Keck/Fu_2010B/G09v1.40.fits  KeckII-NIRC2  Ks
HATLAS_J091840.8+023047       G09v1.326 G09v1.326  ../../data/HST/Negrello_Cycle19/SMA_SNAPS/HATLAS_J091841+023048_side30.fits  HST  F110W
HATLAS_J084933.4+021443       G09v1.124 G09v1.124  ../../data/HST/Negrello_Cycle19/G09v1.124_hstsnap.sci.fits  HST  F110W
# HATLAS_J114637.9-001132       G12v2.30  G12v2.30   ../../data/Keck/Fu_2010B/G12v2.30.fits  KeckII-NIRC2  Ks
HATLAS_J114637.9-001132       G12v2.30  G12v2.30   ../../data/HST/Negrello_Cycle19/SMA_SNAPS/HATLAS_J114638-001132_side30.fits  HST  F110W
HATLAS_J113526.3-014605       G12v2.43  G12v2.43   ../../data/WHT/PerezFournon/g12v2_43_sky_ks_astro_2mass_rms0p031_20110424.fits  WHT  Ks
HATLAS_J141351.9-000026       G15v2.235 G15v2.235  ../../data/HST/Negrello_Cycle19/SMA_SNAPS/HATLAS_J141352-000027_side30.fits  HST  F110W
# HATLAS_J141351.9-000026       G15v2.235 G15v2.235  ../../data/Keck/Fu_2010B/G15v2.235.fits  KeckII-NIRC2  Ks
HATLAS_J142413.9+022303       G15v2.779 G15-141    ../../data/HST/Negrello_Cycle19/SMA_SNAPS/HATLAS_J142414+022304_side30.fits  HST  F110W
# HATLAS_J142413.9+022303       G15v2.779 G15-141    ../../data/Keck/Fu_2010B/G15v2.779.fits  KeckII-NIRC2  Ks
HATLAS_J144556.1-004853       G15v2.481 G15v2.481  ../../data/Keck/Fu_2010B/G15v2.481.fits  KeckII-NIRC2  Ks
HATLAS_J134429.4+303036       NAv1.56   NA.v1.56   ../../data/HST/Negrello_Cycle19/SMA_SNAPS/HATLAS_J134429+303036_side30.fits  HST  F110W
HATLAS_J133649.9+291801       NAv1.144  NA.v1.144  sdss/NA.v1.144_sdss_i.fits.gz  SDSS  i
HATLAS_J132859.3+292327       NAv1.177  NA.v1.177  sdss/NA.v1.177_sdss_i.fits.gz  SDSS  i
