iauname shortname dataname fnu e_fnu mu e_mu
1HerMES-S250-J021830.5-053124 HXMM02    XMM06      66.0 5.4  4.4 1.0  
1HerMES-S250-J022016.5-060143 HXMM01    XMM01      12.7 1.3  1.5 0.3 
1HerMES-S250-J022016.5-060143 HXMM01    XMM01       9.6 1.2  1.2 0.1 
1HerMES-S250-J022016.5-060143 HXMM01    XMM01       7.7 1.1  1.2 0.1 
H-ATLAS_J083051.0+013224      G09v1.97  G09v1.97   85.5 4.0  7.0 0.6 
H-ATLAS_J084933.4+021443      G09v1.124 G09v1.124  23.0 1.2  2.8 0.2 
H-ATLAS_J084933.4+021443      G09v1.124 G09v1.124  21.6 3.2  1.3 0.2 
H-ATLAS_J084933.4+021443      G09v1.124 G09v1.124   6.2 1.1  1.3 0.2 
H-ATLAS_J085358.9+015537      G09v1.40  G09v1.40   61.4 2.9 15.3 3.5 
H-ATLAS_J090302.9-014127      SDP17     G9-46      54.7 3.1  4.8 0.7 
H-ATLAS_J090311.6+003906      SDP81     ID081      78.4 8.2 11.2 1.0 
H-ATLAS_J090740.0-004200      SDP9      G9-19      24.8 3.3  9.4 2.5 
H-ATLAS_J091043.1-000321      SDP11     G9-21      30.6 2.4 11.2 1.2 
H-ATLAS_J091305.0-005343      SDP130    ID130      36.7 3.9  2.1 0.2 
H-ATLAS_J091840.8+023047      G09v1.326 G09v1.326  18.8 1.6  1.0 1.0
1HerMES-S250-J103826.6+581542 HLock04   Lock10     30.2 2.2  7.1 1.5 
1HerMES_S250_J105712.2+565457 HLock03   Lock03     50.3 5.9  1.0 1.0
1HerMES_S250_J105750.9+573026 HLock01   Lock01     55.7 5.8  9.2 0.4 
H-ATLAS_J113526.3-014605      G12v2.43  G12v2.43   48.6 2.3  1.0 1.0
H-ATLAS_J114637.9-001132      G12v2.30  G12v2.30   86.0 4.9  9.4 0.5 
H-ATLAS_J125135.4+261457      NCv1.268  NC.v1.268  78.9 4.4 11.2 1.0 
H-ATLAS_J125632.7+233625      NCv1.143  NC.v1.143  97.2 6.5 11.3 1.7 
H-ATLAS_J132427.0+284452      NBv1.43   NB.v1.43   30.2 2.2  2.8 0.4 
H-ATLAS_J132630.1+334410      NAv1.195  NA.v1.195  65.2 2.3  4.1 0.3 
H-ATLAS_J132859.3+292327      NAv1.177  NA.v1.177  50.1 2.1  1.0 1.0
H-ATLAS_J133008.4+245900      NBv1.78   NB.v1.78   59.2 4.3 13.0 1.5 
H-ATLAS_J133649.9+291801      NAv1.144  NA.v1.144  36.8 2.9  4.4 0.8 
H-ATLAS_J134429.4+303036      NAv1.56   NA.v1.56   73.1 2.4 11.6 1.0 
H-ATLAS_J141351.9-000026      G15v2.235 G15v2.235  33.3 2.6  1.8 0.2 
H-ATLAS_J142413.9+022303      G15v2.779 G15-141    90.0 5.0  4.6 0.5 
1HerMES_S250_J142823.9+352619 HBootes03 Bootes10   18.4 2.5  3.0 1.5 
1HerMES_S250_J142825.5+345547 HBootes02 Bootes01   42.3 4.7 10.2 1.3 
1HerMES_S250_J143330.8+345439 HBootes01 Bootes02   59.6 3.9  4.4 2.3 
H-ATLAS_J144556.1-004853      G15v2.481 G15v2.481   9.0 2.1  1.0 1.0
