separation		dNdA
# arcsec arcsec^-2
      0.25    0.004026
      0.75    0.004058
      1.25    0.003106
      1.75    0.002821
      2.25    0.003025
      2.75    0.003033
      3.25    0.002750
      3.75    0.002435
      4.25    0.002644
      4.75    0.002472
      5.25    0.002702
      5.75    0.002451
      6.25    0.002442
      6.75    0.002389
      7.25    0.002224
      7.75    0.002319
      8.25    0.002266
      8.75    0.002139
      9.25    0.002241
      9.75    0.002099
     10.25    0.001952
     10.75    0.002017
     11.25    0.001879
     11.75    0.001852
     12.25    0.001833
     12.75    0.001737
     13.25    0.001854
     13.75    0.001603
     14.25    0.001744
     14.75    0.001605
     15.25    0.001571
     15.75    0.001604
     16.25    0.001568
     16.75    0.001451
     17.25    0.001496
     17.75    0.001412
     18.25    0.001473
     18.75    0.001364
     19.25    0.001379
     19.75    0.001411
     20.25    0.000791
     20.75    0.000746
     21.25    0.000763
     21.75    0.000734
     22.25    0.000658
     22.75    0.000651
     23.25    0.000622
     23.75    0.000614
     24.25    0.000588
     24.75    0.000527
     25.25    0.000528
     25.75    0.000467
     26.25    0.000490
     26.75    0.000458
     27.25    0.000493
     27.75    0.000400
     28.25    0.000428
     28.75    0.000401
     29.25    0.000351
     29.75    0.000350
     30.25    0.000356
     30.75    0.000307
     31.25    0.000298
     31.75    0.000266
     32.25    0.000247
     32.75    0.000258
     33.25    0.000243
     33.75    0.000213
     34.25    0.000192
     34.75    0.000196
     35.25    0.000178
     35.75    0.000156
     36.25    0.000118
     36.75    0.000125
     37.25    0.000105
     37.75    0.000100
     38.25    0.000083
     38.75    0.000083
     39.25    0.000075
     39.75    0.000067
     40.25    0.000048
     40.75    0.000042
     41.25    0.000044
     41.75    0.000036
     42.25    0.000031
     42.75    0.000029
     43.25    0.000024
     43.75    0.000016
     44.25    0.000015
     44.75    0.000016
     45.25    0.000010
     45.75    0.000011
     46.25    0.000007
     46.75    0.000006
     47.25    0.000008
     47.75    0.000005
     48.25    0.000005
     48.75    0.000003
     49.25    0.000000
     49.75    0.000002
     50.25    0.000001
     50.75    0.000001
     51.25    0.000001
     51.75    0.000000
