separation  dNdA
      0.25    0.025465
      0.75    0.012732
      1.25    0.007639
      1.75    0.010913
      2.25    0.002829
      2.75    0.006945
      3.25    0.006856
      3.75    0.005942
      4.25    0.005243
      4.75    0.004021
      5.25    0.001213
      5.75    0.002768
      6.25    0.003565
      6.75    0.005659
      7.25    0.003951
      7.75    0.002054
      8.25    0.005016
      8.75    0.006548
      9.25    0.003097
      9.75    0.006203
     10.25    0.001242
     10.75    0.002961
     11.25    0.003678
     11.75    0.004605
     12.25    0.002598
     12.75    0.001997
     13.25    0.002883
     13.75    0.002315
     14.25    0.004244
     14.75    0.003237
     15.25    0.001670
     15.75    0.002223
     16.25    0.002155
     16.75    0.001900
     17.25    0.002399
     17.75    0.001614
     18.25    0.001744
     18.75    0.001867
     19.25    0.001157
     19.75    0.002901
     20.25    0.001572
     20.75    0.001994
     21.25    0.001049
     21.75    0.002488
     22.25    0.002861
     22.75    0.003078
     23.25    0.002191
     23.75    0.003351
     24.25    0.002757
     24.75    0.002186
     25.25    0.001513
     25.75    0.002225
     26.25    0.001940
     26.75    0.001428
     27.25    0.002103
     27.75    0.001606
     28.25    0.001690
     28.75    0.001771
     29.25    0.001197
     29.75    0.000963
     30.25    0.001684
     30.75    0.001656
     31.25    0.001222
     31.75    0.001504
     32.25    0.000888
     32.75    0.000972
     33.25    0.001149
     33.75    0.001320
     34.25    0.001022
     34.75    0.001374
     35.25    0.001445
     35.75    0.000267
     36.25    0.000527
     36.75    0.001126
     37.25    0.000598
     37.75    0.000675
     38.25    0.000499
     38.75    0.000739
     39.25    0.000405
     39.75    0.000480
     40.25    0.000237
     40.75    0.000312
     41.25    0.000154
     41.75    0.000076
     42.25    0.000377
     42.75    0.000149
     43.25    0.000221
     43.75    0.000146
     44.25    0.000144
     44.75    0.000285
     45.25    0.000070
     45.75    0.000000
     46.25    0.000000
     46.75    0.000204
     47.25    0.000000
     47.75    0.000000
     48.25    0.000066
     48.75    0.000000
     49.25    0.000065
     49.75    0.000000
     50.25    0.000063
     50.75    0.000063
