target rastr   decstr  ra  dec  u g r i z j h k ch1 ch2 ch3 ch4
ElaisS1  00:38:23.67   -43:37:05.30     9.5986250000  -43.618138888  0 0 0 0 0 1 1 1 1 1 1 1
XMM01    02:20:16.69   -06:01:44.4     35.0695416666  -6.0289999999  1 1 1 1 1 1 1 1 1 1 1 1
XMM02    02:22:01.576  -03:33:40.60    35.5065666666  -3.5612777777  0 0 0 0 0 1 1 1 1 1 1 1
XMM03    02:25:48.21   -04:17:51.1     36.4508750000  -4.2975277777  1 1 1 1 1 1 1 1 1 1 1 1
XMM04    02:18:53.10   -06:33:23.7     34.7212499999  -6.5565833333  1 1 1 1 1 1 1 1 0 0 0 0
XMM05    02:30:05.98   -03:41:52.7     37.5249166666  -3.6979722222  0 0 0 0 0 1 1 1 0 0 0 0
XMM06    02:18:30.74   -05:31:30.8     34.6280833333  -5.5252222222  1 1 1 1 1 1 1 1 1 1 1 1
XMM09    02:16:31.85   -05:53:22.2     34.1327083333  -5.8895        1 1 1 1 1 1 1 1 0 0 0 0
XMM16    02:21:35.22   -06:26:16.97    35.3967499999  -6.4380472222  1 1 1 1 1 1 1 1 0 0 0 0
XMM101   02:22:50.83   -03:24:13.81    35.7117916666  -3.4038361111  0 0 0 0 0 1 1 1 1 1 1 1
XMM102   02:19:42.91   -05:24:32.54    34.9287916666  -5.4090388888  1 1 1 1 1 1 1 1 1 1 1 1
XMM108   02:19:18.40   -03:10:51.30    34.8266666666  -3.1809166666  0 0 0 0 0 1 1 1 1 1 1 1
XMM109   02:29:44.79   -03:41:10.17    37.4366249999  -3.6861583333  0 0 0 0 0 1 1 1 0 0 0 0
XMM110   02:18:41.55   -03:50:01.90    34.6731249999  -3.8338611111  1 1 1 1 1 1 1 1 1 1 1 1
XMM115   02:20:21.61   -01:53:29.12    35.0900416666  -1.8914222222  0 0 0 0 0 1 1 1 0 0 0 0
XMM119   02:20:29.14   -06:48:45.89    35.1214166666  -6.8127472222  1 1 1 1 1 1 1 1 0 0 0 0
XMM124   02:22:05.54   -07:07:27.20    35.5230833333  -7.1242222222  1 1 1 1 1 1 1 1 0 0 0 0
ECDFS02  03:33:17.93   -28:09:04.66    53.3247083333  -28.151294444  1 1 1 1 1 1 1 1 1 1 1 1
CDFS_M0  03:27:52.03   -29:09:06.75    51.9667916666  -29.151874999  1 1 1 1 0 0 0 0 1 1 1 1
CDFS_M1  03:32:10.69   -27:05:33.76    53.0445416666  -27.092711111  0 0 0 0 0 1 1 1 1 1 1 1
ADFS01   04:50:57.62   -53:16:54.07    72.7400833333  -53.281686111  0 0 0 0 0 1 1 0 0 0 0 0
ADFS02   04:50:27.14   -52:41:25.66    72.6130833333  -52.690461111  0 0 0 0 0 1 1 0 0 0 0 0
ADFS03   04:49:46.63   -52:54:26.85    72.4442916666  -52.907458333  0 0 0 0 0 1 1 0 0 0 0 0
ADFS04   04:41:03.43   -53:12:40.71    70.2642916666  -53.211308333  0 0 0 0 0 1 1 1 0 0 0 0
ADFS05   04:36:19.36   -55:24:26.16    69.0806666666  -55.407266666  0 0 0 0 0 1 1 1 0 0 0 0
ADFS06   04:33:40.54   -54:03:37.69    68.4189166666  -54.060469444  0 0 0 0 0 1 1 1 0 0 0 0
ADFS07   04:41:53.88   -54:03:51.83    70.4745000000  -54.064397222  0 0 0 0 0 1 1 1 0 0 0 0
ADFS_M0  04:38:30.66   -54:18:24.98    69.6277500000  -54.306938888  0 0 0 0 0 1 1 1 0 0 0 0
COS01    10:01:44.36   +02:57:08.62   150.4348333333    2.952394444  1 1 1 1 1 1 0 1 1 1 1 1
COS02    10:00:57.06   +02:20:10.30   150.2377500000    2.336194444  1 1 1 1 1 1 0 1 1 1 1 1
