shortname RA_850 Dec_850 ID_850 RA_counterpart Dec_counterpart ID_counterpart RA_infrared Dec_infrared position_offset F24_uJy E24_uJy f100 e100 f160 e160 f250 e250 f350 e350 f500 e500  f850 e850 z_source         mu e_mu
GN04                     12:36:16.60 +62:15:20.00 S 12:36:16.11 +62:15:13.53 R    12:36:16.10 +62:15:13.58 0.1   302.8   6.5      -99   -99   12.5   1.9   27.3   3.1   25.7   4.0    -99   -99   4.9   0.7 2.578    1.   0.
GN05                     12:36:18.80 +62:10:08.00 S 12:36:19.13 +62:10:04.32 R_M  12:36:19.13 +62:10:04.33 0.0   215.0   6.0      -99   -99    -99   -99    9.3   3.1    -99   -99    -99   -99   5.2   1.8 2.210    1.   0.
GN06                     12:36:18.70 +62:15:53.00 S 12:36:18.33 +62:15:50.40 R    12:36:18.33 +62:15:50.41 0.0   330.0   7.6      4.3   1.0   25.3   2.0   34.2   3.1   46.7   4.0   27.4   4.0   7.5   0.9 1.865    1.   0.
GN07                     12:36:21.30 +62:17:11.00 S 12:36:21.27 +62:17:08.16 R    12:36:20.98 +62:17:09.54 2.4   366.9   9.2      4.3   1.0   10.5   2.0   26.2   3.1   27.6   4.0   13.2   3.9   8.9   1.5 1.988    1.   0.
#GN13                     12:36:50.50 +62:13:17.00 S 12:36:49.72 +62:13:13.97 R_M  12:36:49.72 +62:13:12.88 1.1   371.0   10.4     9.0   1.9   23.6   2.4   21.4   3.1    -99   -99    -99   -99   1.9   0.4 0.475     1.   0.
GN15                     12:36:56.50 +62:12:02.00 S 12:36:55.82 +62:12:01.13 M_I  12:36:55.82 +62:12:01.14 0.0   200.0   6.0      -99   -99    -99   -99   12.7   3.1    -99   -99    -99   -99   3.7   0.4 2.743    1.   0.
GN19                     12:37:07.70 +62:14:11.00 S 12:37:07.19 +62:14:07.97 R    12:37:07.19 +62:14:07.98 0.0   276.7   10.8     -99   -99   10.1   1.6   21.8   3.1   28.0   4.0   16.7   3.9   8.0   3.1 2.484    1.   0.
GN20                     12:37:11.70 +62:22:12.00 S 12:37:11.88 +62:22:12.11 R    12:37:11.88 +62:22:12.09 0.0    68.9   4.8      -99   -99    -99   -99   12.6   3.1    -99   -99    -99   -99  20.3   2.1 4.055    1.   0.
GN25                     12:36:28.70 +62:10:47.00 S 12:36:29.12 +62:10:45.91 R    12:36:29.11 +62:10:45.91 0.1   724.0   12.0     7.6   1.0   19.1   1.9   26.7   3.0   30.6   4.1   12.4   3.9   3.2   1.4 1.013    1.   0.
GN26                     12:36:35.50 +62:12:38.00 S 12:36:34.51 +62:12:40.93 R    12:36:34.51 +62:12:40.94 0.0   446.0   5.1     34.4   1.2   66.0   1.7   54.3   3.1   45.0   4.2   14.3   4.3   2.2   0.8 1.219    1.   0.
GN31                     12:36:53.10 +62:11:20.00 S 12:36:53.22 +62:11:16.69 M    12:36:53.22 +62:11:16.70 0.0   367.0   6.4      -99   -99    5.7   1.7   13.9   3.1   25.4   4.0   14.6   4.0   2.1   0.6 0.935    1.   0.
