target sourceid mu e_mu s500a e_s500a s500b e_s500b
ADFS01 Source0  1.636 0.096 46.8 9.4 23.8 4.8
ADFS01 Source1  1.263 0.028 13.9 2.8 7.1 1.4
ADFS01 Source2  2.722 0.333 12.3 2.5 6.2 1.2
ADFS02 Source0  2.289 0.131 26.8 5.4 19.8 4.0
ADFS02 Source1  1.204 0.008 23.2 4.6 17.2 3.4
ADFS03 Source0  1.000 0.000 13.4 2.7 26.7 5.3
ADFS03 Source1  1.000 0.000 6.9 1.4 13.7 2.7
ADFS03 Source2  1.000 0.000 3.7 0.7 7.3 1.5
ADFS04 Source0  1.000 0.000 33.0 6.6 30.8 6.2
ADFS04 Source1  1.000 0.000 13.5 2.7 12.6 2.5
ADFS04 Source2  1.000 0.000 10.5 2.1 9.8 2.0
ADFS05 Source0  1.000 0.000 39.8 8.0 25.0 5.0
ADFS05 Source1  1.000 0.000 46.9 9.4 29.5 5.9
ADFS06 Source0  1.699 0.135 36.4 7.3 32.3 6.5
ADFS06 Source1  1.420 0.070 24.4 4.9 21.7 4.3
ADFS06 Source2  1.785 0.183 11.2 2.2 9.9 2.0
ADFS07 Source0  10.344 0.456 92.7 18.5 115.2 23.0
ADFS_M0 Source0 1.426 0.033 51.0 10.2 49.9 10.0
ADFS_M0 Source1 1.521 0.067 24.0 4.8 23.5 4.7
CDFS_M0 Source0 8.293 0.194 33.5 6.7 46.5 9.3
CDFS_M0 Source1 1.521 0.003 36.6 7.3 50.8 10.2
CDFS_M0 Source0 1.000 0.000 14.9 3.0 20.8 4.2
CDFS_M1 Source0 2.954 0.039 68.3 13.7 37.5 7.5
CDFS_M1 Source1 1.117 0.016 16.7 3.3 9.2 1.8
COS01 Source0   14.858 1.897 74.0 14.8 45.7 9.1
COS02 Source0   1.000 0.000 13.1 2.6 11.8 2.4
COS02 Source1   1.000 0.000 8.9 1.8 8.0 1.6
COS02 Source2   1.000 0.000 6.1 1.2 5.5 1.1
COS02 Source3   1.000 0.000 5.7 1.1 5.2 1.0
COS02 Source4   1.000 0.000 7.1 1.4 6.4 1.3
ECDFS02 Source0 1.000 0.000 41.5 8.3 33.1 6.6
ECDFS02 Source1 1.000 0.000 21.5 4.3 17.2 3.4
ElaisS1 Source0 1.289 0.019 39.1 7.8 31.5 6.3
ElaisS1 Source1 1.680 0.062 16.6 3.3 13.4 2.7
ElaisS1 Source2 1.534 0.042 12.5 2.5 10.1 2.0
ElaisS1 Source3 1.160 0.008 7.7 1.5 6.2 1.2
XMM01 Source0   1.767 0.038 70.3 14.1 53.3 10.7
XMM01 Source1   1.418 0.015 52.3 10.5 39.7 7.9
XMM01 Source2   1.579 0.055 9.0 1.8 6.8 1.4
XMM02 Source0   1.633 0.110 59.4 11.9 30.1 6.0
XMM02 Source1   1.096 0.008 21.9 4.4 11.1 2.2
XMM03 Source0   1.797 0.164 91.6 18.3 52.5 10.5
XMM04 Source0   1.000 0.000 42.2 8.4 19.4 3.9
XMM04 Source1   1.000 0.000 13.8 2.8 6.3 1.3
XMM05 Source0   2.152 0.230 37.2 7.4 26.6 5.3
XMM06 Source0   5.328 0.186 43.9 8.8 31.5 6.3
XMM101 Source0  1.000 0.000 113.1 22.6 221.0 44.2
XMM102 Source0  1.000 0.000 62.0 12.4 31.2 6.2
XMM102 Source1  1.000 0.000 24.3 4.9 18.3 3.7
XMM102 Source2  1.000 0.000 15.6 3.1 11.8 2.4
XMM102 Source3  1.000 0.000 13.6 2.7 10.3 2.1
XMM102 Source4  1.000 0.000 9.1 1.8 6.9 1.4
XMM108 Source0  8.489 1.127 4.4 0.9 3.3 0.7
XMM109 Source0  27.149 4.610 85.8 17.2 103.8 20.8
XMM110 Source0  1.000 0.000 75.0 15.0 82.3 16.5
XMM110 Source1  1.000 0.000 45.5 9.1 22.5 4.5
XMM115 Source0  3.715 0.420 27.5 5.5 13.6 2.7
XMM119 Source0  2.251 0.166 93.5 18.7 62.7 12.5
XMM119 Source1  1.485 0.035 49.0 9.8 30.2 6.0
XMM124 Source0  1.000 0.000 34.6 6.9 21.3 4.3
XMM16 Source0   1.000 0.000 57.0 11.4 9.8 2.0
XMM16 Source1   1.000 0.000 53.8 10.8 48.5 9.7
XMM16 Source2   1.000 0.000 13.3 2.7 12.0 2.4
