Source ID	RA Dec	S1300 e_S1300	
COSLA-5	1   10:00:59.521  +02:17:02.57	2.04    0.49	
COSLA-6 1	10:01:23.640  +02:26:08.42	2.66    0.49	
COSLA-6 2	10:01:23.570  +02:26:03.62	3.08    0.65	
COSLA-8	1   10:00:25.550  +02:15:08.44	2.65    0.62	
COSLA-9 1	10:00:13.750  +01:56:41.54	1.69    0.47	
COSLA-9 2	10:00:13.829  +01:56:38.64	1.87    0.58	
COSLA-11 N	10:01:14.260  +01:48:18.86	2.15    0.62	
COSLA-11 S	10:01:14.200  +01:48:10.31	1.43    0.48	
COSLA-13 1	10:00:31.840  +02:12:42.81	2.38    0.61	
COSLA-16 1	10:00:51.585  +02:33:33.56	1.39    0.32	
COSLA-16 2	10:00:51.554  +02:33:32.09	1.19    0.33	
COSLA-16 3	10:00:51.780  +02:33:33.58	2.26    0.58	
COSLA-17 1	10:01:36.772  +02:11:04.87	3.02    0.57	
COSLA-17 2	10:01:36.811  +02:11:09.66	3.55    0.77	
COSLA-18 1  10:00:43.190  +02:05:19.17	2.15    0.48	
COSLA-19 1	10:00:08.226  +02:11:50.677	3.17    0.76	
COSLA-23 1	10:00:10.161  +02:13:34.95	3.42    0.47	
COSLA-23 2	10:00:10.070  +02:13:26.87	3.70    0.60	
COSLA-33 1	10:00:9.580   +02:19:13.86	1.78    0.58	
COSLA-35 1	10:00:23.651  +02:21:55.22	2.15    0.51	
COSLA-38 1	10:00:12.590  +02:14:44.31	8.19    1.85	
COSLA-40 1	09:59:25.909  +02:19:56.40	3.41    1.02	
COSLA-47 1	10:00:33.350  +02:26:01.66	3.11    0.59	
COSLA-54 1	09:58:37.989  +02:14:08.52	3.26    0.65	
COSLA-128 1	10:01:37.990  +02:23:26.50	4.50    0.94	
COSLA-161 1	10:00:16.150  +02:12:38.27	2.54    0.74	
