iauname shortname dataname ra_250 dec_250 f250 e250 f350 e350 f500 e500  f870 e870
1HERMES_S250_J045057.5-531654  ADFS01   ADFS01   04:50:57.62   -53:16:54.07     138.   6.  114.   6.   73.   6.   11.15  0.38 
1HERMES_S250_J045026.5-524127  ADFS02   ADFS02   04:50:27.14   -52:41:25.66      88.   6.   81.   6.   50.   6.   10.29  0.35 
1HERMES_S250_J044946.9-525424  ADFS03   ADFS03   04:49:46.63   -52:54:26.85     115.   6.   61.   6.   24.   6.   13.39  0.49 
1HERMES_S250_J044103.8-531240  ADFS04   ADFS04   04:41:03.43   -53:12:40.71      96.   6.   86.   6.   57.   6.   14.94  0.33 
1HERMES_S250_J043619.3-552425  ADFS05   ADFS05   04:36:19.36   -55:24:26.16     109.6 6.1  102.4 5.5   86.7  5.4  15.29  0.37 
1HERMES_S250_J043340.5-540337  ADFS06   ADFS06   04:33:40.54   -54:03:37.69      76.   6.   90.   6.   72.   6.   17.23  0.42 
1HERMES_S250_J044153.9-540350  ADFS07   ADFS07   04:41:53.88   -54:03:51.83      79.7 6.0  103.0 5.5   92.7 5.9   32.13  0.46 
1HERMES_S250_J043829.7-541831  ADFS_M0  ADFS_M0  04:38:30.66   -54:18:24.98      57    6.   78.   5.   75.   6.   20.46  0.47 
1HERMES_S250_J032752.0-290908  CDFS_M0  CDFS_M0  03:27:52.03   -29:09:06.75      28.   7.   84.   6.   85.   6.   33.16  0.45 
1HERMES_S250_J033210.8-270535  CDFS_M1  CDFS_M1  03:32:10.69   -27:05:33.76      73.   6.   86.   6.   85.   6.   13.49  0.24 
1HERMES_S250_J100144.1+025712  COS01-1  COS01    10:01:44.36   +02:57:08.62      91.   6.  100.   6.   74.   6.   12.59  0.21 
1HERMES_S250_J100056.6+022014  COS02    COS02    10:00:57.06   +02:20:10.30      71.   6.   64.   6.   41.   6.   10.37  0.51 
1HERMES_S250_J033317.9-280907  ECDFS02  ECDFS02  03:33:17.93   -28:09:04.66      96.   6.   90.   6.   63.   6.   14.13  0.25 
1HERMES_S250_J003823.6-433707  EL-S01   ElaisS1   00:38:23.69   -43:37:05.63    114.   6.  101.   6.   76.   6.   17.26  0.34 
1HERMES_S250_J022016.5-060143  XMM01    XMM01    02:20:16.69   -06:01:44.4      180.3 6.7  192.1 7.7  131.6  6.6  28.35  0.44 
1HERMES_S250_J022201.6-033340  XMM02    XMM02    02:22:01.576  -03:33:40.60     106.9 6.7  108.0 7.8   81.3  7.2  11.35  0.47 
1HERMES_S250_J022547.8-041750  XMM03    XMM03    02:25:48.21   -04:17:51.1      105.7 6.7  119.4 7.8   91.6  6.6  14.01  0.34 
1HERMES_S250_J021853.1-063325  XMM04    XMM04    02:18:53.10   -06:33:23.7       89.   6.   83.   6.   56.   6.   7.25   0.44 
1HERMES_S250_J023006.0-034152  XMM05    XMM05    02:30:05.98   -03:41:52.7      102.3 6.7  110.4 7.8   81.1  6.7  15.56  0.37 
1HERMES_S250_J021830.5-053124  XMM06    XMM06    02:18:30.74   -05:31:30.8       91.9 6.7  122.4 7.8  113.1  6.7  62.06  0.57 
1HERMES_S250_J022250.5-032410  XMM101   XMM101   02:22:50.83   -03:24:13.81      97.   6.   82.   6.   62.   6.   8.77   0.24 
1HERMES_S250_J021942.7-052436  XMM102   XMM102   02:19:42.91   -05:24:32.54      85.   6.   79.   6.   67.   6.   14.21  0.61 
1HERMES_S250_J021918.4-031051  XMM108   XMM108   02:19:18.40   -03:10:51.30      90.6 6.7  103.6 7.8   85.8  6.6  29.16  0.58 
1HERMES_S250_J022944.7-034110  XMM109   XMM109   02:29:44.79   -03:41:10.17      90.   6.  100.   6.   75.   6.   22.53  0.27 
1HERMES_S250_J021841.5-035002  XMM110   XMM110   02:18:41.55   -03:50:01.90     128.   6.  112.   6.   73.   6.   10.13  0.43 
1HERMES_S250_J022021.7-015328  XMM115   XMM115   02:20:21.61   -01:53:29.12     143.9 6.8  136.6 8.5   93.5 10.8  18.83  0.44 
1HERMES_S250_J022029.2-064845  XMM119   XMM119   02:20:29.14   -06:48:45.89     120.3 6.7  114.9 7.8   83.6  6.9  14.81  0.34 
1HERMES_S250_J022205.4-070728  XMM124   XMM124   02:22:05.54   -07:07:27.20     137.   6.  108.   6    57.   6.   2.75   0.14 
1HERMES_S250_J022135.1-062617  XMM16    XMM16    02:21:35.22   -06:26:16.97     120.7 6.7  131.9 8.0  110.1  6.7  22.38  0.36 
