target sourceid ra_alma dec_alma epoch xpix ypix peakflux
ADFS01 source0 3:31:39.507 -27:41:21.20 fk5  144 121  0.00617022 
ADFS01 source1 3:31:39.658 -27:41:20.50 fk5  124 128  0.00121084 
ADFS01 source2 3:31:39.725 -27:41:23.00 fk5  115 103  0.00169544 
ADFS02 source0 3:31:39.213 -27:41:20.60 fk5  183 127  0.00533768 
ADFS02 source1 3:31:40.019 -27:41:20.20 fk5  76 131  0.00377971 
ADFS03 source0 3:31:39.801 -27:41:17.20 fk5  105 161  0.00722369 
ADFS03 source1 3:31:39.454 -27:41:23.80 fk5  151 95  0.00361151 
ADFS03 source2 3:31:39.439 -27:41:19.60 fk5  153 137  0.00209792 
ADFS04 source0 3:31:39.545 -27:41:21.00 fk5  139 123  0.0089127 
ADFS04 source1 3:31:39.695 -27:41:19.50 fk5  119 138  0.0034091 
ADFS05 source0 3:31:39.628 -27:41:20.30 fk5  128 130  0.00980101 
ADFS06 source0 3:31:39.643 -27:41:21.10 fk5  126 122  0.0113739 
ADFS06 source1 3:31:39.635 -27:41:19.40 fk5  127 139  0.00267827 
ADFS07 source0 3:31:39.635 -27:41:20.30 fk5  127 130  0.00811499 
ADFS_M0 source0 3:31:39.522 -27:41:22.90 fk5  142 104  0.0110183 
ADFS_M0 source1 3:31:39.718 -27:41:17.60 fk5  116 157  0.00505544 
CDFS_M0 source0 3:31:39.597 -27:41:18.30 fk5  132 150  0.0128595 
CDFS_M0 source1 3:31:39.673 -27:41:22.20 fk5  122 111  0.00777359 
CDFS_M0 source2 3:31:39.537 -27:41:22.00 fk5  140 113  0.00678234 
CDFS_M1 source0 3:31:39.695 -27:41:19.00 fk5  119 143  0.00866924 
CDFS_M1 source1 3:31:39.500 -27:41:22.50 fk5  145 108  0.00244038 
COS01 source0 3:31:39.582 -27:41:19.60 fk5  134 137  0.00540888 
# COS01 source0 3:31:39.650 -27:41:21.20 fk5  125 121  0.00428635 
COS02 source0 3:31:39.364 -27:41:15.80 fk5  163 175  0.0031925 
COS02 source1 3:31:40.057 -27:41:21.90 fk5  71 114  0.0022196 
COS02 source2 3:31:39.868 -27:41:22.40 fk5  96 109  0.00138266 
COS02 source3 3:31:39.718 -27:41:20.50 fk5  116 128  0.00136589 
COS02 source4 3:31:39.251 -27:41:24.30 fk5  178 90  0.00112692 
ECDFS02 source0 3:31:39.628 -27:41:20.40 fk5  128 129  0.0126565 
ElaisS1 source0 3:31:39.816 -27:41:22.40 fk5  103 109  0.00846619 
ElaisS1 source1 3:31:39.500 -27:41:22.00 fk5  145 113  0.00367628 
ElaisS1 source2 3:31:39.296 -27:41:15.40 fk5  172 179  0.00198275 
ElaisS1 source3 3:31:39.861 -27:41:26.70 fk5  97 66  0.00172788 
XMM01 source0 3:31:39.673 -27:41:19.30 fk5  122 140  0.0134328 
XMM01 source1 3:31:39.567 -27:41:21.70 fk5  136 116  0.0102045 
XMM02 source0 3:31:39.597 -27:41:18.50 fk5  132 148  0.00745958 
XMM02 source1 3:31:39.635 -27:41:22.70 fk5  127 106  0.00316864 
XMM03 source0 3:31:39.515 -27:41:20.60 fk5  143 127  0.0125241 
XMM04 source0 3:31:39.628 -27:41:20.10 fk5  128 132  0.00559113 
XMM04 source1 3:31:39.597 -27:41:21.00 fk5  132 123  0.00210358 
XMM05 source0 3:31:39.620 -27:41:19.70 fk5  129 136  0.0143578 
XMM06 source0 3:31:39.612 -27:41:20.30 fk5  130 130  0.0433741 
XMM101 source0 3:31:39.612 -27:41:20.50 fk5  130 128  0.0083532 
XMM102 source0 3:31:39.447 -27:41:22.60 fk5  152 107  0.00538999 
XMM102 source1 3:31:39.597 -27:41:22.10 fk5  132 112  0.00308896 
XMM102 source2 3:31:39.680 -27:41:20.70 fk5  121 126  0.00362179 
XMM102 source3 3:31:39.801 -27:41:18.10 fk5  105 152  0.000836184 
XMM108 source0 3:31:39.680 -27:41:20.00 fk5  121 133  0.0172144 
XMM108 source1 3:31:39.560 -27:41:20.90 fk5  137 124  0.00762201 
XMM109 source0 3:31:39.582 -27:41:20.10 fk5  134 132  0.0178754 
XMM110 source0 3:31:39.515 -27:41:21.50 fk5  143 118  0.00580241 
XMM110 source1 3:31:39.718 -27:41:19.30 fk5  116 140  0.00369062 
XMM115 source0 3:31:39.643 -27:41:19.70 fk5  126 136  0.0153466 
XMM119 source0 3:31:39.688 -27:41:22.00 fk5  120 113  0.00763909 
XMM119 source1 3:31:39.552 -27:41:18.80 fk5  138 145  0.00626268 
XMM124 source0 3:31:39.620 -27:41:20.60 fk5  129 127  0.00256132 
XMM16 source0 3:31:39.884 -27:41:19.80 fk5  94 135  0.0178627 
