target sourceid offra e_offra offdec e_offdec f870 e_f870 reff e_reff q e_q phi e_phi mu e_mu
HELAISS02.0      3.113 0.160 -3.112 0.155  12.35  0.23  0.096 0.005   0.80  0.05   91   6   1.27  0.13
HELAISS02.1     -0.111 0.114 -2.172 0.183   3.24  0.12  0.065 0.008   0.84  0.05   87   7   1.34  0.17
HELAISS02.2     -1.470 0.158  1.774 0.145   2.12  0.16  0.105 0.016   0.86  0.04  120   7   1.15  0.07
HELAISS02.3      4.039 0.165 -7.216 0.174   2.22  0.18  0.124 0.020   0.79  0.05   77   7   1.08  0.04
HXMM02.0        -0.278 0.008  0.239 0.011  11.88  0.11  0.122 0.003   0.64  0.02   62   2   5.33  0.19
HXMM31.0        -1.380 0.010 -1.025 0.010   6.79  0.37  0.141 0.011   0.80  0.12  134  36   1.00  0.00
HXMM31.1         1.311 0.011  1.124 0.010   4.01  0.26  0.070 0.018   0.59  0.22   52  56   1.00  0.00
HXMM29.0         0.114 0.009  0.451 0.008   5.57  0.30  0.088 0.012   0.82  0.14   90  44   1.00  0.00
HXMM29.1        -0.236 0.034 -0.562 0.030   1.78  0.37  0.116 0.051   0.70  0.20   88  55   1.00  0.00
HXMM07.0         0.016 0.238 -0.016 0.283   3.43  0.07  0.074 0.007   0.32  0.02   66   2   8.49  1.13
HXMM20.0        -2.308 0.012 -2.275 0.011   7.15  0.44  0.089 0.014   0.63  0.16   58  27   1.00  0.00
HXMM20.1         0.828 0.025 -0.278 0.023   4.19  0.49  0.137 0.026   0.84  0.10   74  44   1.00  0.00
HXMM20.2        -0.211 0.017 -1.647 0.014   3.42  0.26  0.058 0.020   0.80  0.13   84  45   1.00  0.00
HXMM20.3        -1.505 0.157 -1.981 0.064   2.07  0.39  0.283 0.198   0.67  0.17   81  21   1.00  0.00
HXMM20.4         2.588 0.155  2.611 0.218   0.94  0.18  0.459 0.246   0.58  0.15   96  51   1.00  0.00
HXMM01.0        -1.503 0.013  0.395 0.017  12.25  0.24  0.090 0.005   0.56  0.06   12  19   1.29  0.15
HXMM01.1        -2.563 0.018 -1.337 0.017   9.56  0.26  0.116 0.006   0.34  0.03    2   1   1.21  0.10
HXMM01.2        -2.622 0.025 -0.552 0.025   1.37  0.19  0.077 0.025   0.66  0.18  134  33   1.39  0.19
HXMM04.0         0.095 0.021  0.442 0.025   8.49  0.20  0.117 0.007   0.52  0.07   -2   5   2.36  0.68
HXMM09.0        -0.392 0.039 -0.740 0.051   7.05  0.24  0.064 0.006   0.42  0.06   75   5   1.24  0.12
HXMM09.1        -1.507 0.073  0.805 0.053   4.02  0.12  0.033 0.010   0.46  0.18  116  14   1.62  0.31
HXMM03.0         5.180 0.030  0.924 0.030  12.41  0.24  0.130 0.004   0.53  0.03  -25   2   1.50  0.25
HXMM03.1         5.160 0.023  2.051 0.028   1.46  0.13  0.093 0.007   0.73  0.11   22  25   1.50  0.25
HXMM03.2         5.163 0.035  0.755 0.033   1.34  0.12  0.096 0.005   0.73  0.11  -11  37   1.50  0.25
HXMM11.0        -0.844 0.111 -0.648 0.081   6.24  0.24  0.106 0.007   0.26  0.03   54   2   1.31  0.16
HXMM11.1        -0.596 0.122 -4.592 0.098   3.38  0.35  0.168 0.023   0.59  0.16  139  41   1.05  0.03
HXMM23.0         0.101 0.011 -0.050 0.009   2.93  0.15  0.020 0.008   0.68  0.20   89  49   1.00  0.00
