target ra_alma dec_alma f870 e_f870 pbcorr remu e_remu
HELAISS02.0     00:38:23.214 -43:36:58.97     15.69 0.29 0.57 1.27 0.13
HELAISS02.1     00:38:23.447 -43:37:05.60     4.34 0.16 0.95 1.34 0.17
HELAISS02.2     00:38:23.831 -43:37:06.15     2.44 0.19 0.97 1.15 0.07
HELAISS02.3     00:38:23.884 -43:37:10.40     2.40 0.19 0.76 1.08 0.04
HXMM02.0        02:18:30.671 -05:31:31.79     63.33 0.58 0.98 5.33 0.19
HXMM31.0        02:18:41.523 -03:50:04.75     6.79 0.37 0.93 1.00 0.00
HXMM31.1        02:18:41.700 -03:50:02.61     4.01 0.26 0.95 1.00 0.00
HXMM29.0        02:18:53.098 -06:33:25.21     5.57 0.30 0.98 1.00 0.00
HXMM29.1        02:18:53.120 -06:33:24.25     1.78 0.37 1.00 1.00 0.00
HXMM07.0        02:19:18.423 -03:10:51.32     29.16 0.58 1.00 8.49 1.13
HXMM20.0        02:19:42.630 -05:24:37.15     7.15 0.44 0.72 1.00 0.00
HXMM20.1        02:19:42.698 -05:24:36.76     4.19 0.49 0.79 1.00 0.00
HXMM20.2        02:19:42.772 -05:24:36.46     3.42 0.26 0.84 1.00 0.00
HXMM20.3        02:19:42.840 -05:24:35.13     2.07 0.39 0.94 1.00 0.00
HXMM20.4        02:19:42.956 -05:24:32.65     0.94 0.18 1.00 1.00 0.00
HXMM01.0        02:20:16.569 -06:01:43.79     15.80 0.31 0.97 1.29 0.15
HXMM01.1        02:20:16.572 -06:01:44.62     11.56 0.32 0.97 1.21 0.10
HXMM01.2        02:20:16.651 -06:01:41.91     1.91 0.26 0.95 1.39 0.19
HXMM04.0        02:20:21.782 -01:53:30.08     20.03 0.47 0.94 2.36 0.68
HXMM09.0        02:20:29.081 -06:48:44.89     8.74 0.30 0.98 1.24 0.12
HXMM09.1        02:20:29.195 -06:48:48.04     6.51 0.20 0.96 1.62 0.31
HXMM03.0        02:21:35.124 -06:26:16.62     18.61 0.36 0.98 1.50 0.25
HXMM03.1        02:21:35.132 -06:26:18.02     2.19 0.20 0.98 1.50 0.25
HXMM03.2        02:21:35.136 -06:26:17.28     2.01 0.18 0.99 1.50 0.25
HXMM11.0        02:22:01.593 -03:33:39.45     8.17 0.32 0.99 1.31 0.16
HXMM11.1        02:22:01.629 -03:33:43.57     3.54 0.36 0.92 1.05 0.03
HXMM23.0        02:22:05.370 -07:07:28.16     2.93 0.15 0.94 1.00 0.00
HXMM22.0        02:22:50.570 -03:24:12.35     10.19 0.28 0.86 1.00 0.00
HXMM05.0        02:25:47.852 -04:17:50.84     17.96 0.43 0.78 1.40 0.20
HXMM30.0        02:29:44.747 -03:41:09.59     22.76 0.28 0.99 27.15 4.61
