target sourceid ra_alma dec_alma S_870_observed e_S_870_observed
ADFS01 Source0  04:50:57.7633 -53:16:55.489   7.05 0.22
ADFS01 Source1  04:50:57.6211 -53:16:57.3305  1.88 0.13
ADFS01 Source2  04:50:57.6864 -53:16:54.9333  2.22 0.26
ADFS02 Source0  04:50:27.4965 -52:41:24.4732  5.80 0.27
ADFS02 Source1  04:50:27.0761 -52:41:23.2214  4.48 0.24
ADFS03 Source0  04:49:46.3106 -52:54:23.6652  7.50 0.24
ADFS03 Source1  04:49:46.5759 -52:54:30.2693  3.84 0.27
ADFS03 Source2  04:49:46.5942 -52:54:26.0632  2.06 0.30
ADFS04 Source0  04:41:04.0154 -53:12:41.3302  8.65 0.23
ADFS04 Source1  04:41:03.8845 -53:12:40.1032  3.53 0.18
ADFS04 Source2  04:41:03.9703 -53:12:42.0992  2.76 0.16
ADFS05 Source0  04:36:19.7042 -55:24:24.4171  7.02 0.42
ADFS05 Source1  04:36:19.7006 -55:24:25.2736  8.27 0.53
ADFS06 Source0  04:33:40.4325 -54:03:40.0192  8.69 0.28
ADFS06 Source1  04:33:40.4043 -54:03:39.9268  5.79 0.31
ADFS06 Source2  04:33:40.4181 -54:03:38.7673  2.75 0.19
ADFS07 Source0  04:41:53.8731 -54:03:53.5867  32.13 0.46
ADFS_M0 Source0 04:38:30.9384 -54:18:31.1957  13.99 0.33
ADFS_M0 Source1 04:38:30.8557 -54:18:27.8108  6.48 0.27
CDFS_M0 Source0 03:27:52.0257 -29:09:10.3237  13.07 0.40
CDFS_M0 Source1 03:27:52.0254 -29:09:07.9119  14.26 0.22
CDFS_M0 Source0 03:27:52.0109 -29:09:10.4004  5.83 0.11
CDFS_M1 Source0 03:32:10.8401 -27:05:34.5314  10.96 0.22
CDFS_M1 Source1 03:32:10.8997 -27:05:37.936   2.53 0.10
COS01 Source0   10:01:44.1727 +02:57:12.253   12.59 0.21
COS02 Source0   10:00:57.3421 +02:20:17.3587  3.31 0.16
COS02 Source1   10:00:56.9128 +02:20:11.2659  2.26 0.19
COS02 Source2   10:00:57.4051 +02:20:08.931   1.54 0.23
COS02 Source3   10:00:57.1148 +02:20:12.6646  1.45 0.18
COS02 Source4   10:00:57.0274 +02:20:10.8361  1.80 0.33
ECDFS02 Source0 03:33:18.0276 -28:09:07.554   9.30 1.20
ECDFS02 Source1 03:33:18.0027 -28:09:07.3933  4.83 1.26
ElaisS1 Source0 00:38:23.781 -43:37:07.2637   8.94 0.17
ElaisS1 Source1 00:38:23.5802 -43:37:06.3245  4.12 0.15
ElaisS1 Source2 00:38:23.4956 -43:37:02.3778  2.37 0.18
ElaisS1 Source3 00:38:23.8387 -43:37:11.3682  1.82 0.15
XMM01 Source0   02:20:16.5125 -06:01:42.7875  15.32 0.30
XMM01 Source1   02:20:16.4441 -06:01:44.5194  11.22 0.31
XMM01 Source2   02:20:16.4403 -06:01:43.7345  1.81 0.25
XMM02 Source0   02:22:01.6675 -03:33:42.0479  8.09 0.31
XMM02 Source1   02:22:01.6524 -03:33:45.9917  3.26 0.34
XMM03 Source0   02:25:48.0364 -04:17:48.8624  14.01 0.34
XMM04 Source0   02:18:53.1184 -06:33:24.1986  5.46 0.30
XMM04 Source1   02:18:53.0959 -06:33:25.2116  1.78 0.37
XMM05 Source0   02:30:05.8638 -03:41:53.7526  15.56 0.37
XMM06 Source0   02:18:30.6595 -05:31:31.5111  62.06 0.57
XMM101 Source0  02:22:50.5777 -03:24:12.3263  8.77 0.24
XMM102 Source0  02:19:42.6843 -05:24:37.1151  5.15 0.32
XMM102 Source1  02:19:42.8186 -05:24:35.1186  3.31 0.39
XMM102 Source2  02:19:42.7741 -05:24:36.4871  2.88 0.22
XMM102 Source3  02:19:42.7187 -05:24:36.8213  1.94 0.37
XMM102 Source4  02:19:42.8939 -05:24:32.2287  0.94 0.18
XMM108 Source0  02:19:18.4156 -03:10:51.3662  29.16 0.58
XMM109 Source0  02:29:44.7311 -03:41:09.6432  22.53 0.27
XMM110 Source0  02:18:41.6837 -03:50:04.7251  6.31 0.34
XMM110 Source1  02:18:41.5456 -03:50:02.5759  3.81 0.25
XMM115 Source0  02:20:21.7542 -01:53:30.4778  18.83 0.44
XMM119 Source0  02:20:29.1175 -06:48:47.2298  8.57 0.29
XMM119 Source1  02:20:29.0534 -06:48:45.6851  6.25 0.19
XMM124 Source0  02:22:05.3663 -07:07:28.1494  2.75 0.14
XMM16 Source0   02:21:35.2323 -06:26:16.945   18.16 0.38
XMM16 Source1   02:21:35.3897 -06:26:15.8168  2.07 0.18
XMM16 Source2   02:21:35.3965 -06:26:17.1177  1.70 0.18
