object,ra,dec,S_870_observed,e_S_870_observed
ADFS01,04:50:57.7633,-53:16:55.489,7.05,0.22
ADFS02,04:50:27.4965,-52:41:24.4732,5.80,0.27
ADFS03,04:49:46.3106,-52:54:23.6652,7.50,0.24
ADFS04,04:41:04.0154,-53:12:41.3302,8.65,0.23
ADFS05,04:36:19.7042,-55:24:24.4171,7.02,0.42
ADFS06,04:33:40.4325,-54:03:40.0192,8.69,0.28
ADFS07,04:41:53.8731,-54:03:53.5867,32.13,0.46
ADFS_M0,04:38:30.9384,-54:18:31.1957,13.99,0.33
CDFS_M0,03:27:52.0257,-29:09:10.3237,13.07,0.40
CDFS_M1,03:32:10.8401,-27:05:34.5314,10.96,0.22
COS01,10:01:44.1727,+02:57:12.253,12.59,0.21
COS02,10:00:57.3421,+02:20:17.3587,3.31,0.16
ECDFS02,03:33:18.0276,-28:09:07.554,9.30,1.20
ElaisS1,00:38:23.781,-43:37:07.2637,8.94,0.17
XMM01,02:20:16.5125,-06:01:42.7875,15.32,0.30
XMM02,02:22:01.6675,-03:33:42.0479,8.09,0.31
XMM03,02:25:48.0364,-04:17:48.8624,14.01,0.34
XMM04,02:18:53.1184,-06:33:24.1986,5.46,0.30
XMM05,02:30:05.8638,-03:41:53.7526,15.56,0.37
XMM06,02:18:30.6595,-05:31:31.5111,62.06,0.57
XMM101,02:22:50.5777,-03:24:12.3263,8.77,0.24
XMM102,02:19:42.6843,-05:24:37.1151,5.15,0.32
XMM108,02:19:18.4156,-03:10:51.3662,29.16,0.58
XMM109,02:29:44.7311,-03:41:09.6432,22.53,0.27
XMM110,02:18:41.6837,-03:50:04.7251,6.31,0.34
XMM115,02:20:21.7542,-01:53:30.4778,18.83,0.44
XMM119,02:20:29.1175,-06:48:47.2298,8.57,0.29
XMM124,02:22:05.3663,-07:07:28.1494,2.75,0.14
XMM16,02:21:35.2323,-06:26:16.945,18.16,0.38
