iauname shortname dataname sma_ra sma_dec z_lens z_lens_err z_lens2 z_lens2_err z_source f250 e250 f350 e350 f500 e500 f880 e880
1HerMES-S250-J021830.5-053124 HXMM02    XMM06     02:18:30.679 -05:31:31.60 1.35   0.01   -99.0  -99.0  3.39   92.0 7.0 122.0 8.0 113.0 7.0             66.0 5.4                  
1HerMES-S250-J022016.5-060143 HXMM01    XMM01     02:20:16.603 -06:01:43.20 0.6545 0.0001 0.502  0.001  2.307 180.0 7.0 192.0 8.0 132.0 7.0             28.3 3.4            
# 1HerMES-S250-J022201.6-033340 HXMM11 XMM02 02:22:01.599 -03:33:39.70 -99.0 -99.0 2.179 107.0 7.0 108.0 8.0 81.0 7.0 19.3 4.0               
# 1HerMES-S250-J022547.8-041750 HXMM05 XMM03 02:25:47.855 -04:17:50.90 -99.0 -99.0 2.985 106.0 7.0 119.0 8.0 92.0 7.0 18.2 1.9               
# 1HerMES-S250-J023006.0-034152 HXMM12 XMM05 02:30:05.966 -03:41:52.20 -99.0 -99.0 -99.0 102.0 7.0 110.0 8.0 81.0 7.0 18.9 1.4               
H-ATLAS_J083051.0+013224      G09v1.97  G09v1.97  08:30:51.156 +01:32:24.35 0.626  0.001  1.002  0.001  3.634 260.459 7.048 321.268 8.115 269.5   9.0   85.5 4.0
H-ATLAS_J084933.4+021443      G09v1.124 G09v1.124 08:49:33.362 +02:14:42.30 -99.0  -99.0   -99.0  -99.0 2.41  241.89  6.958 292.93  8.132 231.164 8.965 50.0 3.5
H-ATLAS_J085358.9+015537      G09v1.40  G09v1.40  08:53:58.862 +01:55:37.70 -99.0  -99.0   -99.0  -99.0 2.089 388.923 6.925 381.374 8.145 240.727 9.206 61.4 2.9   
H-ATLAS_J090302.9-014127      SDP17     G9-46     09:03:03.031 -01:41:27.11 0.9435 0.0009  -99.0  -99.0 2.305 346.857 6.763 338.909 8.022 218.853 8.791 54.7 3.1
H-ATLAS_J090311.6+003906      SDP81     ID081     09:03:11.568 +00:39:06.43 0.2999 0.0002  -99.0  -99.0 3.042 137.858 6.924 199.092 8.217 174.346 9.084 78.4 8.2
H-ATLAS_J090740.0-004200      SDP9      G9-19     09:07:40.022 -00:41:59.80 0.61287 0.00051 -99.0 -99.0 1.577 470.598 6.833 342.749 8.079 181.41  8.806 24.8 3.3
H-ATLAS_J091043.1-000321      SDP11     G9-21     09:10:43.061 -00:03:22.76 0.7932 0.0012  -99.0  -99.0 1.786 416.953 6.126 378.499 7.433 232.073 8.182 30.6 2.4
H-ATLAS_J091305.0-005343      SDP130    ID130     09:13:05.107 -00:53:43.05 0.220  0.002   -99.0  -99.0 2.625 116.338 6.055 140.046 7.372 107.642 8.213 36.7 3.9
H-ATLAS_J091840.8+023047      G09v1.326 G09v1.326 09:18:40.927 +02:30:45.90 -99.0  -99.0   -99.0  -99.0 2.582 141.667 6.809 175.329 8.19  138.144 8.91  18.8 1.6   
#1HerMES_S250_J103618.3+585456 HLock05   Lock02    10:36:18.482 +58:54:55.90 0.49   0.12    -99.0  -99.0 3.52   71.0   7.0   102.0  10.0   99.0   8.0  29.8 2.1
1HerMES-S250-J103826.6+581542 HLock04   Lock10    10:38:26.611 +58:15:42.47 0.61   0.02    -99.0  -99.0 -99.0 191.0   7.0   157.0  10.0   101.0   7.0   30.2 2.2             
1HerMES_S250_J105712.2+565457 HLock03   Lock03    10:57:12.262 +56:54:58.70 -99.0  -99.0   -99.0  -99.0 2.771 114.0   7.0   147.0  10.0   114.0   7.0   50.3 5.9           
1HerMES_S250_J105750.9+573026 HLock01   Lock01    10:57:51.022 +57:30:26.80 0.6    0.04    -99.0  -99.0 2.957 403.0   7.0   377.0  10.0   249.0   7.0   55.7 5.8
H-ATLAS_J113526.3-014605      G12v2.43  G12v2.43  11:35:26.273 -01:46:06.55 -99.0 -99.0    -99.0  -99.0 3.127 289.694 6.858 295.249 8.074 216.389 8.837 48.6 2.3   
H-ATLAS_J114637.9-001132      G12v2.30  G12v2.30  11:46:37.980 -00:11:31.80 1.2247 0.0001 1.2247 0.0001 3.259 289.948 6.122 356.396 7.409 295.432 8.131 86.0 4.9   
H-ATLAS_J125135.4+261457      NCv1.268  NC.v1.268 12:51:35.412 +26:14:58.63 -99.0 -99.0    -99.0  -99.0 3.675 145.0   7.0   201.0   8.0   212.0   9.0   78.9 4.4
H-ATLAS_J125632.7+233625      NCv1.143  NC.v1.143 12:56:32.544 +23:36:27.63 0.2551 0.0001  -99.0  -99.0 3.565 214.0   7.0   291.0   8.0   261.0   9.0   97.2 6.5
H-ATLAS_J132427.0+284452      NBv1.43   NB.v1.43  13:24:27.206 +28:44:49.40 0.997  0.017   -99.0  -99.0 1.676 347.0   7.0   377.0   8.0   268.0   9.0   30.2 2.2
H-ATLAS_J132630.1+334410      NAv1.195  NA.v1.195 13:26:30.216 +33:44:07.60 0.7856 0.0003  -99.0  -99.0 2.951 179.0   7.0   279.0   8.0   265.0   9.0   65.2 2.3
H-ATLAS_J132859.3+292327      NAv1.177  NA.v1.177 13:28:59.246 +29:23:26.13 -99.0  -99.0   -99.0  -99.0 2.778 264.0   9.0   310.0  10.0   261.0  10.0   50.1 2.1
H-ATLAS_J133008.4+245900      NBv1.78   NB.v1.78  13:30:08.520 +24:58:59.17 0.4276 0.0003  -99.0  -99.0 3.1112 273.0  7.0   282.0   8.0   214.0   9.0   59.2 4.3
H-ATLAS_J133649.9+291801      NAv1.144  NA.v1.144 13:36:49.985 +29:17:59.77 -99.0  -99.0   -99.0  -99.0 2.2023 295.0  8.0   294.0   9.0   191.0  10.0   36.8 2.9
H-ATLAS_J134429.4+303036      NAv1.56   NA.v1.56  13:44:29.518 +30:30:34.05 0.6721 0.0004  -99.0  -99.0 2.3015 481.0  9.0   484.0  13.0   344.0  11.0   73.1 2.4
H-ATLAS_J141351.9-000026      G15v2.235 G15v2.235 14:13:52.092 -00:00:24.43 0.5470 0.0003  -99.0  -99.0 2.478 189.516 6.883 240.188 8.046 200.39  8.835 33.3 2.6
H-ATLAS_J142413.9+022303      G15v2.779 G15-141   14:24:13.975 +02:23:03.60 0.595  0.001   -99.0  -99.0 4.243 115.033 6.862 191.746 8.093 203.395 8.798 90.0 5.0
1HerMES_S250_J142823.9+352619 HBootes03 Bootes10  14:28:24.074 +35:26:19.35 1.034  0.001   -99.0  -99.0 1.325 323.0   6.0   244.0   7.0   140.0  33.0   18.4 2.5
