Field 250(16%ile) 250(50%ile) 350(84%ile) 350(16%ile) 350(50%ile) 350(84%ile) 500(16%ile) 500(50%ile) 500(84%ile)
ADFS_M0 0.852124850144 0.923567949383 0.974605151369 0.877888007221 0.932733095337 0.97570863081 0.533144260449 0.611140970713 0.717847026875  
ADFS01 0.500360334352 0.529461727201 0.571325993806 0.764242282835 0.85700281344 0.930845733367 0.763678107738 0.870795018549 0.940295022417  
ADFS02 0.628393401873 0.647531524262 0.666285101101 0.654347076861 0.679556361986 0.701967076597 0.55167962691 0.605978841578 0.66140071273  
ADFS03 0.576809248165 0.604047464866 0.632739645104 0.510260260127 0.55154617944 0.59613939863 0.423886543236 0.521716178739 0.688594999118  
ADFS04 0.799754429253 0.906791331299 0.965210790668 0.864760689977 0.92810589783 0.969308449952 0.499473560502 0.640124022265 0.814184593063  
ADFS05 0.578993902134 0.756362135815 0.922209479198 0.675611882428 0.860735205395 0.966984317133 0.59044890889 0.76790955466 0.930681176528  
ADFS06 0.768699055251 0.873935394032 0.939194149857 0.474441543045 0.57747122761 0.725045568547 0.45472343352 0.567473609702 0.743056977485  
ADFS07 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
CDFS_M0 0.880344588916 0.920360742749 0.955809874175 0.83296739556 0.881229750849 0.92734109475 0.74154547706 0.815408820557 0.88670913544  
CDFS_M1 0.615396564134 0.660871268029 0.711156176274 0.573417248965 0.618807768751 0.667476514107 0.530798850654 0.597079773477 0.67585508452  
COS01 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
COS02 0.430101355396 0.441156557739 0.451517991618 0.511864547007 0.525314549633 0.539579952636 0.680202801712 0.70142948416 0.720640452687  
ECDFS02 0.819559414798 0.917625678649 0.975853556817 0.788151469584 0.908813908444 0.976053288172 0.604679606412 0.783009727517 0.93407492502  
ElaisS1 0.338053619381 0.409513558124 0.491393000587 0.319647086758 0.390576361013 0.487291040083 0.380273274699 0.455131589964 0.517743530519  
XMM01 0.552501049577 0.674915059801 0.766907092145 0.839281983416 0.915884933495 0.963327926086 0.489029256053 0.579099396079 0.706296085301  
XMM02 0.584265274527 0.645674769819 0.706704229781 0.514360423325 0.549467157912 0.607477332041 0.540133694013 0.631668325949 0.768776247291  
XMM03 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM04 0.942372792319 0.97828253047 0.994717179003 0.92015122772 0.969288318007 0.993544119441 0.660651071899 0.864488100103 0.966850228123  
XMM05 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM06 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM16 0.446476245094 0.546725830635 0.683057406969 0.470465697381 0.601934442909 0.768771011083 0.545860709741 0.741380560391 0.887254738919  
XMM101 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM102 0.552502024765 0.611583893434 0.667488998097 0.490020933189 0.556340225563 0.621311698114 0.358773133852 0.450048930466 0.564296459871  
XMM108 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM109 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM110 0.651262892363 0.725603743007 0.794569784826 0.632203314625 0.723799927244 0.81431822469 0.58065991506 0.741134509839 0.908204048216  
XMM115 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM119 0.518496492999 0.560801868508 0.624684427913 0.619499811543 0.735022589718 0.846935275269 0.575135456333 0.744313818813 0.911396370148  
XMM124 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
