Field 250(16%ile) 250(50%ile) 350(84%ile) 350(16%ile) 350(50%ile) 350(84%ile) 500(16%ile) 500(50%ile) 500(84%ile)
ADFS_M0 0.721438654972 0.874385341227 0.966751580092 0.560919449837 0.674166067636 0.813453897697 0.615490497167 0.799398529057 0.941195197601  
ADFS01 0.709775135458 0.780731681067 0.851962895506 0.593832116936 0.723705912868 0.844166525977 0.464386590874 0.577707849723 0.750064117417  
ADFS02 0.614811669994 0.632784834948 0.651026191065 0.670748568752 0.695999919359 0.720747817813 0.68066523263 0.753937444092 0.827642708633  
ADFS03 0.564131950665 0.614598032931 0.658600266046 0.455289875068 0.518955619524 0.583835878426 0.446607578477 0.554513458838 0.732854856681  
ADFS04 0.648061914705 0.795348015452 0.905894573423 0.524879752181 0.688994095855 0.853406164078 0.463790202121 0.586265816389 0.76191841561  
ADFS05 0.584227625623 0.751464134481 0.91648991626 0.700421989612 0.871494290393 0.96952121261 0.581109956759 0.750635908313 0.912125608279  
ADFS06 0.779997368261 0.874493733261 0.94185262921 0.476468930789 0.579409870022 0.726765127748 0.456359171867 0.568042052544 0.741312237428  
ADFS07 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
CDFS_M0 0.509476148632 0.585838827591 0.656947998521 0.504793905234 0.581536676535 0.656511614027 0.457219972223 0.54558990172 0.670638577691  
CDFS_M1 0.705038760701 0.811136258274 0.91314046154 0.741124139435 0.868559950991 0.960194370457 0.597365182021 0.792549510291 0.943780286619  
COS01 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
COS02 0.349715886911 0.368892808979 0.387296402405 0.436049715477 0.454477424286 0.472901332214 0.514817020295 0.554188676818 0.590389764969  
ECDFS02 0.675016782219 0.810519541557 0.922912012266 0.633759025198 0.825588992131 0.94839519633 0.582913473859 0.742197684292 0.910577230413  
ElaisS1 0.485276974322 0.593550238865 0.695603270063 0.402060434977 0.516172169952 0.65656681228 0.418005213799 0.549805111787 0.720039465497  
XMM01 0.487350663018 0.641442916411 0.734906317853 0.520780915526 0.695679421228 0.842649682435 0.457387589292 0.548690821235 0.686129574318  
XMM02 0.649241947273 0.719834832551 0.784977434883 0.546683865891 0.63563484002 0.734008409137 0.565640213032 0.70880704936 0.873844388815  
XMM03 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM04 0.945459537337 0.978846108739 0.994750158772 0.912317586809 0.966457252825 0.991375618981 0.730346111003 0.882490459324 0.969915049263  
XMM05 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM06 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM16 0.444517651125 0.536293627 0.675157507635 0.47407206755 0.600889474999 0.758853356384 0.566945081542 0.741946687194 0.891578968068  
XMM101 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM102 0.353510669076 0.442785986785 0.575462405262 0.362499123076 0.46537044929 0.614029250878 0.334722940418 0.432579079687 0.579910752841  
XMM108 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM109 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM110 0.778671956781 0.863555736653 0.942712290613 0.882779141136 0.949002951787 0.986139282917 0.676434165973 0.868090991294 0.966239461008  
XMM115 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM119 0.518590331779 0.560163687481 0.62737049319 0.62155951997 0.732447056445 0.840415845595 0.578725576934 0.742092881946 0.907346046643  
XMM124 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
