Field 250(16%ile) 250(50%ile) 350(84%ile) 350(16%ile) 350(50%ile) 350(84%ile) 500(16%ile) 500(50%ile) 500(84%ile)
ADFS_M0 0.726950735266 0.879049873028 0.967604273547 0.557990225266 0.679611282424 0.836617150537 0.624705991608 0.800760411976 0.93790201745  
ADFS01 0.74831773348 0.825943739422 0.897732663279 0.6014303454 0.743697549959 0.869246138226 0.46424058814 0.588355816414 0.764472924995  
ADFS02 0.544065718759 0.627384141087 0.78654016752 0.5865729313 0.734739713749 0.889189828213 0.606376178261 0.768731276659 0.91199911926  
ADFS03 0.553974306374 0.605736794975 0.652353015499 0.4354607479 0.501112209006 0.57729717874 0.455316182804 0.583122776783 0.784854963473  
ADFS04 0.665961377869 0.817063425741 0.918479127198 0.517518762686 0.679790900253 0.846159823064 0.454457814828 0.570049074474 0.730556944906  
ADFS05 0.577471153134 0.754879906558 0.922413595493 0.675186361499 0.860176178176 0.95826033517 0.580313816718 0.753948245863 0.92221210965  
ADFS06 0.78822684765 0.882021018718 0.947965649109 0.47172377749 0.578793511549 0.741143235302 0.457349235544 0.575775073977 0.737196435079  
ADFS07 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
CDFS_M0 0.557753343211 0.662266614299 0.787607241071 0.557613662559 0.664974328454 0.80023556849 0.467419242222 0.585707955747 0.752802827866  
CDFS_M1 0.703284712069 0.813691730035 0.914808924188 0.764556583908 0.876174626938 0.962024941595 0.609045458446 0.792563751134 0.936265526394  
COS01 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
COS02 0.353632153998 0.412542471476 0.497436167654 0.402745150074 0.486754928408 0.615334926459 0.421232034757 0.588777460754 0.753098939194  
ECDFS02 0.58289031564 0.745263342765 0.8972237061 0.598025141428 0.790905693344 0.93261340282 0.578752034135 0.737979904751 0.911500408769  
ElaisS1 0.484747957866 0.588406575186 0.688724103305 0.402416062736 0.524504478981 0.667045201733 0.421206393507 0.546027672663 0.708808684156  
XMM01 0.417912036564 0.499257587833 0.623064775929 0.46228860677 0.594111624752 0.765653147812 0.455691343133 0.560372779989 0.72758495039  
XMM02 0.550811443308 0.650859366474 0.77452919947 0.54297055346 0.651948688086 0.829350277597 0.570981777082 0.719683627346 0.895905448055  
XMM03 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM04 0.947912199992 0.981146645124 0.994810617358 0.91682829178 0.968546493838 0.991240204244 0.725830914032 0.886368407528 0.966918374053  
XMM05 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM06 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM16 0.447739492654 0.543838380517 0.681362640073 0.469078123579 0.600352501142 0.767436086311 0.558525226862 0.739938955028 0.882716939268  
XMM101 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM102 0.35935064531 0.45997327738 0.59585348895 0.362341732367 0.473903276374 0.621592229464 0.343730440536 0.435608324565 0.575365742545  
XMM108 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM109 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM110 0.571393428455 0.718682056414 0.875005690724 0.646116864261 0.845233036163 0.958800568844 0.605559196902 0.794608671884 0.942342087012  
XMM115 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
XMM119 0.519588608015 0.562038315038 0.629340417074 0.614387600195 0.728041047502 0.840369035435 0.575599533658 0.735398499427 0.903365401966  
XMM124 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0  
