Field 250(16%ile) 250(50%ile) 250(84%ile)
ADFS_M0 Source0 0.0303257695081 0.115415851659 0.258562435731  
ADFS_M0 Source1 1.76563534488 2.2177294975 2.63872254838  
ADFS01 Source0 12.4803828855 13.7284217511 15.0106524142  
ADFS01 Source1 1.21182176451 3.86601684255 7.64452300944  
ADFS01 Source2 3.84939656622 8.9815318077 14.6566429414  
ADFS02 Source0 14.7957429892 15.299017912 15.7713731852  
ADFS02 Source1 5.70506129199 6.04481796587 6.38050847716  
ADFS03 Source0 6.62739334481 7.35984629416 8.01109707671  
ADFS03 Source1 2.81360392965 4.57097702899 6.19959228825  
ADFS03 Source2 2.38106970196 6.35863988606 10.7005421663  
ADFS04 Source0 0.110577961536 0.457840175597 1.11543040121  
ADFS04 Source1 6.62688434192 8.12593772599 9.40577318729  
ADFS04 Source2 0.262920467535 1.08322184543 2.68336710535  
ADFS05 Source0 2.24451722446 6.78669471949 11.0123169735  
ADFS05 Source1 1.72618134308 5.47601137546 9.43966113469  
ADFS06 Source0 0.110300499391 0.379963304268 0.968165958723  
ADFS06 Source1 0.158855113917 0.621196789193 1.47218544024  
ADFS06 Source2 20.519206986 22.9249117449 24.9133120596  
ADFS07 Source0 2.24119486613 2.31375491137 2.38494941113  
CDFS_M0 Source0 0.234119757426 0.741482842584 1.25191380905  
CDFS_M0 Source1 1.99087612205 2.41953012005 2.79068158174  
CDFS_M0 Source2 0.553641384943 1.5984954105 2.79359488002  
CDFS_M1 Source0 0.402453807696 0.921825387078 1.49605980109  
CDFS_M1 Source1 14.7406775752 16.5922399004 18.2241809553  
COS01 Source0 5.44984673995 5.49597145977 5.54433348373  
COS02 Source0 4.6714332201 4.98970774309 5.27331931006  
COS02 Source1 3.60478202021 4.59506239563 5.39071450789  
COS02 Source2 10.2163132254 11.3330741485 12.402518766  
COS02 Source3 0.461186913644 1.65586308371 3.77614519331  
COS02 Source4 0.577957491474 1.85961343135 3.99879006231  
ECDFS02 Source0 6.35876464535 7.66013571041 8.73294471011  
ECDFS02 Source1 1.40247694244 3.4483813877 5.91832532566  
ElaisS1 Source0 4.72741930584 5.99806464854 7.08459260019  
ElaisS1 Source1 0.734884246292 2.16543134198 3.92459978923  
ElaisS1 Source2 1.32744953078 2.74668748569 4.07761173093  
ElaisS1 Source3 2.64302830592 6.24313799259 10.1074259132  
XMM01 Source0 2.50133332846 3.28373265152 4.12446263604  
XMM01 Source1 0.25492503342 1.08017702748 2.68006598697  
XMM01 Source2 43.9543458605 57.9212751528 66.7379669242  
XMM02 Source0 7.63688137442 8.50729399744 9.28805980131  
XMM02 Source1 6.36568010799 8.39664696349 10.4201039782  
XMM03 Source0 5.31621412308 5.43939511607 5.5695019036  
XMM04 Source0 0.0929339741051 0.374529447367 0.96574176162  
XMM04 Source1 49.6591659758 51.7901300298 53.3627433205  
XMM05 Source0 12.7004415977 13.0094711575 13.3099923766  
XMM06 Source0 1.16819849283 1.22997556767 1.28571894415  
XMM16 Source0 0.684823646816 2.32865838274 4.36413946747  
XMM16 Source1 6.88157991592 12.8406757419 18.5791354229  
XMM16 Source2 0.783501112868 2.84602115034 5.32910242958  
XMM101 Source0 9.69307998624 9.94624352297 10.2209588131  
XMM102 Source0 1.24287076411 3.05916365118 4.84351501571  
XMM102 Source1 0.662731354825 2.28731274431 5.10304413524  
XMM102 Source2 0.740842248252 2.97058038686 6.88740336081  
XMM102 Source3 1.97818895549 6.94446498146 14.1654481974  
XMM102 Source4 1.95519298004 7.38132129991 14.8482398139  
XMM108 Source0 2.95659708274 3.04986771696 3.13929955318  
XMM109 Source0 4.25756318862 4.37167884253 4.48206577692  
XMM110 Source0 0.850343580878 2.03206952539 3.37305138659  
XMM110 Source1 19.8681018288 21.8745948658 23.8422818541  
XMM115 Source0 8.41487935863 8.62329131687 8.82346351656  
XMM119 Source0 5.46855396519 6.67796513513 7.87971080297  
XMM119 Source1 9.71850172815 11.4113736905 13.1378409833  
XMM124 Source0 42.6019657712 43.8166612441 44.9863516553  
