Field 250(16%ile) 250(50%ile) 250(84%ile)
ADFS_M0 Source0 0.0288812117979 0.109867199294 0.252580958883  
ADFS_M0 Source1 1.79378822895 2.23735993812 2.65882506887  
ADFS01 Source0 11.1788311286 12.6382632247 13.9717304664  
ADFS01 Source1 0.849320637209 3.08545543363 6.31731888195  
ADFS01 Source2 1.53489358357 5.20365364881 10.3302924093  
ADFS02 Source0 2.0762930158 7.52794217853 12.623049801  
ADFS02 Source1 3.43228354075 4.91677619777 5.76916206199  
ADFS03 Source0 5.79136488796 6.79544243034 7.60516732911  
ADFS03 Source1 2.57900625685 4.50772506279 6.07178537913  
ADFS03 Source2 2.09855484705 5.67345098638 10.1397656923  
ADFS04 Source0 0.0999836503043 0.408567933575 1.05977550302  
ADFS04 Source1 6.85428566785 8.22232443995 9.47359847281  
ADFS04 Source2 0.236594063493 0.956919571141 2.41970835793  
ADFS05 Source0 2.02036691738 6.44643577796 11.0703628653  
ADFS05 Source1 1.82571452297 5.78701804867 9.65832777195  
ADFS06 Source0 0.0884885909085 0.344633479586 0.891837621738  
ADFS06 Source1 0.133832185004 0.527523915591 1.32548721936  
ADFS06 Source2 18.9222402706 21.5756472158 23.8302877256  
ADFS07 Source0 0.0428083680236 0.175218732614 0.451479206073  
CDFS_M0 Source0 0.126430980617 0.445048597226 0.930804876265  
CDFS_M0 Source1 1.89375027623 2.31279381232 2.73535897453  
CDFS_M0 Source2 0.276635141862 0.991173939977 2.08099275721  
CDFS_M1 Source0 0.400043287054 0.90460405318 1.50720904524  
CDFS_M1 Source1 14.7611605489 16.618785402 18.2408548143  
COS01 Source0 5.45128668186 5.49831192859 5.54560021878  
COS02 Source0 0.817449815534 2.47336439322 4.14721455509  
COS02 Source1 0.631614029169 2.07871829786 3.77948882455  
COS02 Source2 10.0872284451 11.2017286396 12.2272617849  
COS02 Source3 0.572445391227 1.95403493289 4.17298271726  
COS02 Source4 0.385074407546 1.35752798707 3.0772924243  
ECDFS02 Source0 1.21112644622 3.81351517886 6.53250803819  
ECDFS02 Source1 1.20798327271 3.09236737366 5.56892652867  
ElaisS1 Source0 4.73813283288 5.93820597939 7.00525900905  
ElaisS1 Source1 0.694776560421 2.19090532349 4.21388178595  
ElaisS1 Source2 1.32295783415 2.72522164336 4.04449433965  
ElaisS1 Source3 2.8642083311 6.48076837855 10.1717604802  
XMM01 Source0 1.75889638974 2.58022794996 3.34974211281  
XMM01 Source1 0.814303588176 2.32674878738 4.03826681207  
XMM01 Source2 5.90686323277 18.5733204004 35.4764522726  
XMM02 Source0 1.37438994726 4.10184806249 7.14618234786  
XMM02 Source1 6.29371282534 8.29197688638 10.2930026057  
XMM03 Source0 4.97080066743 5.24356594131 5.44301294074  
XMM04 Source0 0.0918387103913 0.334358735577 0.906529183477  
XMM04 Source1 49.7711264717 51.7663396555 53.3841643847  
XMM05 Source0 12.711204205 13.0054016431 13.3175654408  
XMM06 Source0 1.16787527906 1.22847333053 1.28508684658  
XMM16 Source0 0.687824488299 2.30134955645 4.28705802719  
XMM16 Source1 6.32957909878 12.6683859341 19.3009053054  
XMM16 Source2 0.883233298835 2.84444090592 5.42640237924  
XMM101 Source0 9.69152391631 9.95248079552 10.242434855  
XMM102 Source0 1.27849949467 3.0314398478 4.61814475139  
XMM102 Source1 0.479744479785 1.72873308714 4.15270488684  
XMM102 Source2 0.645218789453 2.35660728225 5.72997891363  
XMM102 Source3 1.5489762347 5.82641226319 12.2344763534  
XMM102 Source4 1.64946423814 5.86338265394 12.1038296058  
XMM108 Source0 0.522553430566 1.54594388478 2.5123969037  
XMM109 Source0 4.27440344571 4.37767178175 4.48457648224  
XMM110 Source0 1.63530303682 3.11023568685 4.41147417487  
XMM110 Source1 2.12438342366 7.78175381352 15.3252484852  
XMM115 Source0 8.40696334104 8.61436152089 8.81058597916  
XMM119 Source0 5.53264553038 6.73758145022 8.0100135567  
XMM119 Source1 9.54913149431 11.3318465623 13.1149686939  
XMM124 Source0 42.6916061382 43.8375707092 44.9133254696  
