Field 250low 250med 250high 350low 350med 350high 500low 500med 500high
ADFS_M0 16.700152777 19.3988655935 21.9925802044 34.6956774267 38.6975706091 42.7707237184 44.7469076957 51.8215826717 58.4971889966  
ADFS01 116.408173658 119.297236808 122.06457391 98.2400511106 101.698401389 104.940979305 56.441817828 62.6296053454 69.6496260275  
ADFS02 139.754374819 142.340624693 145.001217661 130.755205252 133.313367247 136.055874644 86.018750934 90.0547112621 93.7968152902  
ADFS03 94.5310078204 98.3525945435 102.181251832 95.9131335846 101.514144671 107.091648932 65.7441065198 72.075602143 77.8301376502  
ADFS04 42.6182674908 47.3916164646 51.7957698531 51.8825404008 58.2447642803 64.9846572069 46.1375606908 57.5512601859 69.0684210268  
ADFS05 99.0230117993 101.790345083 104.443964676 94.1768135942 96.7515147419 99.1707997901 77.9476884492 80.9366155996 83.987539416  
ADFS06 71.5178621679 73.9524732084 76.3496226599 90.9743506206 93.2457455256 95.5554051817 81.7538101496 84.417502994 87.0627349588  
ADFS07 73.981842531 76.3770496242 78.7271800613 97.1401499697 99.6024486073 102.00909254 90.2378941859 93.4720188462 96.5774710844  
CDFS_M0 57.2611397573 60.6230232569 63.1072271475 78.6561546674 81.685461603 84.3004040373 76.2501079947 80.6669563873 84.0589854271  
CDFS_M1 52.132014914 55.8859208839 59.7677428014 54.7536875026 60.6507064989 68.0395872618 43.2359340516 54.9181396405 66.4975356662  
COS01 85.0721076107 85.792114487 86.547045681 95.5669074656 96.3249513599 97.0124740987 70.2506839246 71.0736151516 71.9058282122  
COS02 69.0020118788 70.3970145604 71.8005521588 83.672466985 85.1709558757 86.719559079 67.8014995837 70.9981697531 73.9794777871  
ECDFS02 94.02109302 95.4468752348 96.7765177888 87.3883079777 89.0543538479 90.600388986 60.7302834548 62.6631287102 64.5018776206  
ElaisS1 80.8900921473 93.3443652096 102.191674618 74.6325410257 90.8093896006 107.144397938 72.5956450518 84.4594414343 92.4328165465  
XMM01 176.684972192 179.171283758 181.46852124 186.16019573 188.338635172 190.367604411 130.790428003 133.749835048 136.455378921  
XMM02 98.512900001 100.971949593 103.416319408 101.158250036 103.957552728 106.66595816 67.6834808325 72.6138193744 77.3354359887  
XMM03 100.316960502 102.64138584 105.096500921 114.951044405 117.534530469 120.18132109 93.4962255654 97.3733816688 100.863975379  
XMM04 94.3541260853 96.6546038197 98.9038560194 99.6165318518 101.767006212 104.160246804 75.3624744966 78.1674645574 80.8099514545  
XMM05 95.253311983 97.571033681 99.8249428244 104.147493804 106.269381565 108.490759781 79.8097276434 82.0743119296 84.3658338828  
XMM06 73.783416807 77.6852568543 81.2060085122 117.484690101 122.525216885 127.027739651 89.9231375832 98.837942238 106.62985922  
XMM16 111.468487257 113.56721754 115.557556689 131.17023624 133.564594521 135.904253437 113.025683529 115.860774478 118.615202451  
XMM101 98.6755542599 101.252759064 104.049360717 80.9911986433 84.5858503391 87.9844110703 53.7984237449 60.8103343224 67.5507354544  
XMM102 69.1720596024 71.9234273498 74.8045606966 82.2224051418 85.4120774338 88.4574757839 59.7141335356 65.5685570481 70.6817480854  
XMM108 86.3030688453 89.0256386581 91.6361539574 104.032833361 106.936102163 109.752701417 81.435591118 85.3746308708 88.9278640254  
XMM109 84.0868729753 86.3406571399 88.5207990941 94.3027607653 96.5572864589 98.7788093932 72.1728804362 74.8633434229 77.4777564798  
XMM110 97.7687904489 101.686520212 105.559198354 88.4610069863 93.682644793 98.6582518474 56.3946928538 64.5990360213 72.2599415823  
XMM115 158.199731942 162.117876757 165.881114111 153.241845872 156.695757425 160.039985861 120.025233539 124.622184092 129.541387713  
XMM119 125.178081613 128.57351538 131.879334164 115.404401616 118.469877506 121.533244851 81.7403077339 85.3190017607 89.0319129099  
XMM124 124.82375971 128.382817445 131.81001035 101.566685563 104.948322447 108.24041872 63.7326802436 67.528695009 71.5058258814  
