Field 250low 250med 250high 350low 350med 350high 500low 500med 500high
ADFS_M0 16.8048796755 19.4818710036 21.9787632234 34.4751444951 38.9107743633 42.9559337457 44.7104249839 51.9787364499 59.1911178032  
ADFS01 92.4145565107 105.625841295 114.884189181 64.8808524926 83.4490906507 96.0123768279 33.1436786102 48.082611246 58.9600688398  
ADFS02 53.306235263 85.0693984115 115.045405272 35.5893948112 66.5883531097 96.8364625389 21.8494218629 43.6117476961 65.8713326646  
ADFS03 83.7843526442 92.3861713462 98.5667600099 75.2504156325 90.7391957761 100.481481499 42.7374713529 57.3821934801 68.6276110568  
ADFS04 42.2041204188 47.026473935 51.5991711155 52.5753957254 58.5204235637 65.0779304995 46.0949782024 57.0414670727 68.5387140131  
ADFS05 99.0866576578 101.714972527 104.500147156 94.3844976888 96.9550724774 99.3800049578 78.0737086876 81.0896903185 83.8607068074  
ADFS06 64.7289679576 69.9566003898 73.3773349499 68.0976475703 83.6848709168 91.0091153236 46.7675277293 67.8584126679 79.9339204738  
ADFS07 1.41310422846 5.78397036358 14.9033285925 2.77128198902 10.5139555611 25.2516331181 12.2913505884 37.9893177136 70.4124060763  
CDFS_M0 43.4362136973 52.0556378339 58.4448470686 58.4583882868 69.513102448 78.2951368079 54.2034629625 68.1236418538 78.2247854175  
CDFS_M1 51.9661883138 55.8511085637 59.7707122238 54.5132223732 60.3678185318 66.950434075 43.1919807891 55.3959646185 67.0897897181  
COS01 85.0945851038 85.8286492052 86.5668194152 95.5280620529 96.3020369216 97.0267043398 70.2463999896 71.0762893562 71.9666518004  
COS02 38.6582829237 47.9319991426 57.2787224897 27.8216394139 36.0598617345 45.9120239261 19.5671033665 33.1167895048 47.3205842327  
ECDFS02 30.2846459223 57.3701473052 83.7154981112 29.0708215306 56.4853727729 78.8145463099 22.4760056768 41.2116447065 56.2314598122  
ElaisS1 81.0152755017 92.9390378166 101.626848619 74.6350970617 90.6398084916 106.566408606 72.8509619889 84.5972953265 92.401713025  
XMM01 91.4015542986 108.851125327 126.794649853 116.767831547 146.719867231 172.471533128 45.4385501505 73.3259039144 104.443159672  
XMM02 39.6514608956 63.958704325 89.1079186238 44.3046349163 64.8919431803 89.7354517266 34.0503011954 53.6984288948 67.1270661767  
XMM03 93.7990085944 98.9460893125 102.709654192 101.839808303 111.018818374 116.252301351 49.9252304004 76.0587011377 91.7878332315  
XMM04 94.2038454651 96.6514308117 98.8169274386 99.6654038543 101.849027383 104.131408424 75.5575308711 78.1471888843 80.6750522101  
XMM05 95.3340315379 97.5405123229 99.8817408062 103.99620686 106.296125416 108.429344001 79.6141151675 82.1646759443 84.4905559867  
XMM06 73.7630026251 77.5903755563 81.1660852301 117.130239558 122.267099445 126.805311007 90.5583239556 99.0760869614 107.308011154  
XMM16 111.383774139 113.483936374 115.683252417 131.130833638 133.545576478 135.938627613 113.057887111 115.802802674 118.654801057  
XMM101 98.659713468 101.316254498 104.267986824 81.3590949291 84.7709321743 88.1141514647 53.227960677 60.5057574526 67.0316642579  
XMM102 55.6804350075 64.8837774892 70.4760009538 66.9101340982 77.3536927262 83.7972792822 47.6281319349 57.5603646568 65.4623208672  
XMM108 15.2533346382 45.1261019967 73.3368656191 16.161448081 52.9051146443 89.0674264414 13.4618679008 41.5033309361 70.7980213381  
XMM109 84.4194680528 86.4590176896 88.5703855243 94.2655103109 96.4531743383 98.7145970366 72.2627151852 74.6464215968 77.4369602707  
XMM110 33.1608708749 53.8481676301 78.0368575733 10.6607919205 27.2666538031 54.0792659039 14.9094099368 32.1283490874 51.5814929533  
XMM115 158.050910812 161.949996593 165.639016408 152.975098609 156.583725556 159.886163276 119.933709902 124.544228692 129.17304545  
XMM119 125.073515846 128.576713294 132.081101297 115.42927738 118.419881904 121.420127497 82.0382156353 85.3405155783 88.6593989491  
XMM124 125.086405985 128.444082178 131.596043626 101.751949842 104.793011465 107.949011283 63.6553878946 67.584587234 72.0031491617  
