Field 250low 250med 250high 350low 350med 350high 500low 500med 500high
ADFS_M0 49.5192070153 51.8850106556 54.1202697198 82.8606051915 85.1068797493 87.283824215 95.0539245318 97.7459104476 100.337738234  
ADFS01 132.002476208 134.323918669 136.527073153 122.4172745 124.634528333 126.783776999 88.0865926213 90.7399140557 93.505148628  
ADFS02 139.566912205 142.150642436 144.582477691 135.489659442 137.856732513 140.196232831 95.2163039168 98.1081581755 100.935520547  
ADFS03 111.966449383 114.531233023 116.977235001 109.219566105 111.612289088 114.209617811 73.8589564273 76.8171140178 79.5896731348  
ADFS04 113.997733502 116.442990937 118.811286669 112.098374041 114.555167731 116.796710058 81.7599525528 84.7644724483 87.6992983863  
ADFS05 99.1020566753 101.768111798 104.441210886 94.5194374167 96.908383219 99.2290339169 77.9823408136 80.9404583071 83.9949228911  
ADFS06 68.1139976771 70.4011748579 72.7749191279 87.4799808989 89.6396800957 91.9177393423 79.9166388322 82.5640371135 85.1575026002  
ADFS07 75.3049966176 77.5785358207 79.7514690878 101.899690413 104.132868401 106.379986754 90.1980481993 92.8868118296 95.5235499455  
CDFS_M0 64.7400677266 65.9897634634 67.3186938317 89.3586919614 90.4921806137 91.7227983738 97.3857728739 98.854198582 100.278682706  
CDFS_M1 66.4617725735 67.7313350459 69.0300397893 86.7283293102 88.0247155936 89.2838080907 92.3391568108 93.8749264382 95.4415302125  
COS01 85.1757454762 85.84925545 86.5768566693 95.6036343088 96.3502399984 97.0315676114 70.166220866 71.0500097071 71.8795180526  
COS02 94.5609341408 95.4808255821 96.3985167342 104.47141435 105.289197355 106.08503546 92.7126844989 93.6627777603 94.5158473285  
ECDFS02 90.0306341666 91.2783654596 92.5493360207 81.9810549407 83.1790515748 84.3958551977 51.9549022478 53.4066030938 54.8677931418  
ElaisS1 111.770989709 114.709914246 117.616168989 120.940033407 123.961910222 127.13351553 105.488622894 108.259553446 110.895668369  
XMM01 172.800322028 175.104282326 177.46650895 187.739226034 189.81965068 192.063814996 131.639561269 134.085552585 136.668472359  
XMM02 101.285378464 103.449303962 105.566763105 114.426152543 116.584426945 118.786250757 88.3243780465 90.9965462399 93.6081223854  
XMM03 98.2928005228 100.746943594 103.073394683 111.905446818 114.054964505 116.184074575 88.6757152665 91.2682997761 93.8469573714  
XMM04 94.1792426705 96.5495653067 98.8221412266 99.723590273 101.974690581 104.1292276 75.4212682072 78.0935359108 80.6114792008  
XMM05 95.3846965743 97.5488746733 99.6889933331 104.149426083 106.345298351 108.512954127 79.7769554331 82.2264439762 84.619680473  
XMM06 96.0143883778 98.4605262227 100.867696265 143.109866049 145.381374998 147.664050714 137.982642209 140.629859279 143.335644975  
XMM16 111.22539822 113.525162772 115.920312111 131.119629709 133.660918053 136.22685915 112.949138537 115.737768508 118.445191586  
XMM101 136.750238155 139.003024666 141.345113059 117.081621799 119.290498015 121.504276863 80.9623587204 83.6076768401 86.4434949683  
XMM102 81.4963741153 83.8778833102 86.2362605244 94.3532388116 96.5226280906 98.7937799392 81.431450044 84.0894846131 86.6086581525  
XMM108 84.3517838824 86.6859010726 88.9375482039 96.5830857521 98.8724675736 101.358913676 76.9163382439 79.641039729 82.3612392933  
XMM109 84.121007673 86.2243323433 88.3355758279 94.0877969898 96.4478702167 98.6574014871 72.1170352018 74.7100526262 77.4251727291  
XMM110 123.203718073 125.477580684 127.795989001 111.246464679 113.496582447 115.611004299 73.8771954416 76.6014638655 79.2957852653  
XMM115 158.101676807 161.843376096 165.606510924 153.285106731 156.500656645 159.787272171 119.944037941 124.541736008 129.481846445  
XMM119 125.134546933 128.682669558 132.278089527 115.430140164 118.336878226 121.278883105 81.7478378731 85.2199686848 88.5561624918  
XMM124 125.081131585 128.471338587 131.999328823 101.887834021 104.849492255 107.876957546 63.3003417938 67.547126413 71.8082283025  
